Scheme Name,AuM (Cr),1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,10Y,Category,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio
Aditya Birla Sun Life Arbitrage Fund - Direct Plan - Growth,18203.57,0.0017,0.0065,0.0192,0.0382,0.0388,0.078,0.0809,0.0759,0.062400000000000004,0.0642,Arbitrage Fund,0.84,-0.02,2.1,1.99,-0.92
Aditya Birla Sun Life Credit Risk Fund - Direct Plan - Growth,993.4,0.0031,0.0074,0.0329,0.0941,0.095,0.1778,0.1311999999999999,0.1226999999999999,0.10439999999999999,0.092,Credit Risk Fund,2.75,0.66,2.21,4.36,0.09
Aditya Birla Sun Life Floating Rate Fund - Direct Plan - Growth,13658.21,0.0015,0.006,0.0249,0.046,0.0464,0.0875,0.0828999999999999,0.0793,0.0658,0.0761,Floater Fund,0.34,0.93,6.17,0.58,0.02
Aditya Birla Sun Life India GenNext Fund - Direct Plan - Growth,6051.93,0.0148,0.0318,0.111,0.0317,0.0368,0.0587,0.1921,0.2122,0.2329,0.1611,Sectoral/Thematic,10.14,0.81,1.46,2.54,0.18
Axis Banking & PSU Debt Fund - Direct Plan - Growth,13470.4,0.0011,0.0023,0.0265,0.0508,0.0509,0.0933,0.0812,0.0747,0.0621,0.076,Banking and PSU Fund,0.67,0.21,2.5,1.16,0.08
Axis Corporate Bond Fund - Direct Plan - Growth,8119.15,0.0008,0.0022,0.0306999999999999,0.0567,0.0567,0.1032,0.0896,0.0843999999999999,0.0712,-,Corporate Bond Fund,0.74,0.86,3.49,0.94,0.03
Axis Multicap Fund - Direct Plan - Growth,,,,,,,,,,,,Multi Cap Fund,12.15,0.92,1.74,4.66,0.23
Axis Small Cap Fund - Direct Plan - Growth,,,,,,,,,,,,Small Cap Fund,11.83,0.7,1.58,2.55,0.27
Axis Value Fund - Direct Plan - Growth,,,,,,,,,,,,Value Fund,12.01,0.96,1.78,6.79,0.22
Canara Robeco Corporate Bond Fund - Direct Plan - Growth,116.72,0.0005,0.0002,0.0213,0.0446,0.0445,0.087,0.079,0.0741,0.0602,0.0732,Corporate Bond Fund,0.63,0.68,2.58,0.34,0.02
Canara Robeco Dynamic Bond Fund - Direct Plan - Growth,133.4,0.0001,-0.0144999999999999,0.0111,0.0426,0.0408,0.0795,0.0794,0.0776999999999999,0.056600000000000004,0.0733,Dynamic Bond Fund,2.04,0.82,0.96,-0.16,0.02
Canara Robeco Focused Fund - Direct Plan - Growth,2615.41,0.0197999999999999,0.045,0.1221,0.0537,0.0583,0.1198,0.2365,0.2493,-,-,Focused Fund,10.99,0.89,1.59,4.21,0.2
Canara Robeco Income Fund - Direct Plan - Growth Plan,121.43,0.0008,-0.0053,0.016,0.0431,0.0421,0.084,0.0803,0.0776,0.057699999999999994,0.0757,Medium to Long Duration Fund,1.72,0.77,1.15,-0.06,0.03
Canara Robeco Infrastructure - Direct Plan - Growth,904.0,0.0202,0.0295,0.1467,0.0322,0.0409,0.0129,0.3339,0.3423,0.3452,0.1679,Sectoral/Thematic,15.09,0.66,1.68,8.11,0.38
Canara Robeco Large Cap Fund - Direct Plan - Growth,16026.59,0.0186,0.033,0.108,0.0642,0.0687,0.0876,0.2036,0.2168,0.2206,0.1519,Large Cap Fund,10.71,0.93,1.38,3.32,0.16
Canara Robeco Liquid Fund - Direct Plan - Growth,4692.39,0.0012,0.0052,0.017,0.0356999999999999,0.036,0.0728,0.0733,0.0706,0.0557,0.0617,,,,,,
Canara Robeco Savings Fund - Direct Plan - Growth,,,,,,,,,,,,Low Duration Fund,0.28,0.79,5.85,0.31,0.02
Canara Robeco Short Duration Fund - Direct Plan - Growth,455.42,0.0012,0.0024,0.0254,0.0483,0.0482,0.0896,0.0798,0.0747,0.0599,0.0732,Short Duration Fund,0.61,0.78,2.75,0.19,0.02
Canara Robeco Ultra Short Term Fund - Direct Plan - Growth,570.34,0.0015,0.0067,0.0204999999999999,0.0398,0.0401,0.0774,0.074,0.0706,0.0556,0.0636,Ultra Short Duration Fund,0.17,0.85,7.41,-0.04,0.02
