Scheme Name,Plan,Category Name,Crisil Rating,AuM (Cr),1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,10Y
Edelweiss Aggressive Hybrid Fund - Direct Plan - Growth,Direct Plan,Aggressive Hybrid Fund,5,2749.34,0.0166,0.0327,0.0953,0.0533,0.0581,0.10289999999999999,0.2255,0.23629999999999998,0.2378,0.1421
DSP Aggressive Hybrid Fund - Direct Plan - Growth,Direct Plan,Aggressive Hybrid Fund,5,11104.36,0.0089,0.0141,0.0751,0.0603,0.0645,0.1091,0.2073,0.21530000000000002,0.1991,0.1387
DSP Arbitrage fund - Direct Plan - Growth,Direct Plan,Arbitrage Fund,5,6473.7,0.0017000000000000001,0.0062,0.0176,0.0362,0.0366,0.0756,0.0787,0.0748,0.0605,-
Aditya Birla Sun Life Arbitrage Fund - Direct Plan - Growth,Direct Plan,Arbitrage Fund,5,18203.57,0.0017000000000000001,0.006500000000000001,0.0192,0.0382,0.0388,0.078,0.0809,0.0759,0.062400000000000004,0.0642
Tata Arbitrage Fund - Direct Plan - Growth,Direct Plan,Arbitrage Fund,5,14982.22,0.0017000000000000001,0.0062,0.0187,0.0379,0.0385,0.078,0.08109999999999999,0.0766,0.0634,-
DSP Regular Savings Fund - Direct Plan - Growth,Direct Plan,Conservative Hybrid Fund,5,173.25,0.0024,0.0048,0.030299999999999997,0.052199999999999996,0.053200000000000004,0.09939999999999999,0.1217,0.11710000000000001,0.107,0.0842
UTI Corporate Bond Fund - Direct Plan - Growth,Direct Plan,Corporate Bond Fund,5,5474.55,0.0009,0.0019,0.0287,0.054000000000000006,0.053899999999999997,0.09789999999999999,0.0852,0.0795,0.06480000000000001,-
HDFC ELSS Tax saver - Direct Plan - Growth,Direct Plan,ELSS,5,16453.67,0.013600000000000001,0.030299999999999997,0.10550000000000001,0.0771,0.08109999999999999,0.0901,0.26940000000000003,0.2757,0.27949999999999997,0.1442
Motilal Oswal Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,5,13023.4,0.0274,0.059500000000000004,0.1319,-0.008,-0.0016,0.1409,0.3418,0.2987,0.2332,0.146
HDFC Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,5,75784.48,0.013300000000000001,0.0276,0.09539999999999998,0.07440000000000001,0.0781,0.1105,0.2698,0.2857,0.3071,0.1637
Aditya Birla Sun Life Floating Rate Fund - Direct Plan - Growth,Direct Plan,Floater Fund,5,13658.21,0.0015,0.006,0.024900000000000002,0.046,0.0464,0.0875,0.08289999999999999,0.0793,0.0658,0.0761
ICICI Prudential Focused Equity Fund - Direct Plan - Growth,Direct Plan,Focused Fund,5,11666.69,0.0137,0.031200000000000002,0.1273,0.0928,0.0951,0.1202,0.2878,0.2841,0.2813,0.16260000000000002
HDFC Focused Fund - Direct Plan - Growth,Direct Plan,Focused Fund,5,19577.58,0.0132,0.0268,0.09369999999999999,0.0765,0.0801,0.11359999999999999,0.275,0.2916,0.3096,0.16
ICICI Prudential Gilt Fund - Direct Plan - Growth,Direct Plan,Gilt Fund,5,7347.01,0.0003,-0.0015,0.0264,0.0562,0.0557,0.1024,0.09230000000000001,0.0946,0.0701,0.08869999999999999
Franklin India Government Securities Fund - Direct - Growth,Direct Plan,Gilt Fund,5,155.86,-0.0008,-0.0109,0.0129,0.0407,0.0406,0.0863,0.0741,0.0701,0.050300000000000004,0.0676
SBI Nifty Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,5,9838.77,0.021400000000000002,0.0344,0.1072,0.0821,0.0866,0.0676,0.1643,0.18530000000000002,0.2072,0.1261
ICICI Prudential Large & Mid Cap Fund- Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,5,21656.65,0.016200000000000003,0.020499999999999997,0.1008,0.0925,0.0999,0.0993,0.2717,0.2701,0.3032,0.1673
ICICI Prudential Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,5,69762.55,0.018600000000000002,0.0292,0.10099999999999999,0.07339999999999999,0.0791,0.0795,0.22820000000000001,0.2347,0.24539999999999998,0.15130000000000002
Nippon India Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,5,41750.19,0.0173,0.031400000000000004,0.1158,0.0641,0.0688,0.0687,0.2297,0.26030000000000003,0.2764,0.15259999999999999
DSP Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,5,6036.43,0.009399999999999999,0.0172,0.0837,0.0661,0.0702,0.10099999999999999,0.2318,0.239,0.2181,0.1251
Motilal Oswal Liquid Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,5,1116.97,0.0011,0.0049,0.015700000000000002,0.0329,0.0332,0.068,0.069,0.0662,0.0524,-
