Historical Returns - Mutual fund screener| Mutual Fund Screening and Analysis Tool - Moneycontrol.com,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Scheme Name,Plan,Category Name,Crisil Rating,AuM (Cr),1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,10Y
PGIM India Aggressive Hybrid Equity Fund - Direct Plan - Growth,Direct Plan,Aggressive Hybrid Fund,4,219.74,0.004699999999999999,0.0173,0.11599999999999999,0.0672,0.0556,0.0799,0.1564,0.1724,0.17120000000000002,0.1023
DSP Aggressive Hybrid Fund - Direct Plan - Growth,Direct Plan,Aggressive Hybrid Fund,5,11417.61,0.001,0.0026,0.09269999999999999,0.0762,0.0632,0.1007,0.2057,0.20120000000000002,0.1946,0.1376
Mahindra Manulife Aggressive Hybrid Fund - Direct Plan - Growth,Direct Plan,Aggressive Hybrid Fund,4,1797.7,0.0001,0.0146,0.11900000000000001,0.08560000000000001,0.0711,0.0828,0.22510000000000002,0.21710000000000002,0.233,-
ICICI Prudential Equity & Debt Fund - Direct Plan - Growth,Direct Plan,Aggressive Hybrid Fund,4,44552.28,-0.0006,0.0095,0.0978,0.0978,0.0876,0.0815,0.2322,0.225,0.2634,0.1653
Edelweiss Aggressive Hybrid Fund - Direct Plan - Growth,Direct Plan,Aggressive Hybrid Fund,5,2749.34,-0.0022,0.0104,0.1173,0.0713,0.052199999999999996,0.0823,0.21760000000000002,0.2243,0.23170000000000002,0.1408
JM Aggressive Hybrid Fund - (Direct) - Growth,Direct Plan,Aggressive Hybrid Fund,4,822.48,-0.0022,0.0108,0.1209,0.0342,-0.0012,-0.0028000000000000004,0.26030000000000003,0.2547,0.23739999999999997,0.1356
Tata Arbitrage Fund - Direct Plan - Growth,Direct Plan,Arbitrage Fund,5,15922.05,0.0017000000000000001,0.0058,0.0179,0.037599999999999995,0.0408,0.0775,0.0814,0.07690000000000001,0.0639,-
Aditya Birla Sun Life Arbitrage Fund - Direct Plan - Growth,Direct Plan,Arbitrage Fund,5,18203.57,0.0016,0.006,0.0179,0.0377,0.0409,0.07730000000000001,0.08109999999999999,0.07629999999999999,0.06280000000000001,0.0643
Kotak Arbitrage Fund - Direct Plan - Growth,Direct Plan,Arbitrage Fund,4,67362.14,0.0015,0.005699999999999999,0.0173,0.0369,0.04019999999999999,0.0767,0.0819,0.0775,0.0643,0.0653
Bandhan Arbitrage Fund - Direct Plan - Growth,Direct Plan,Arbitrage Fund,4,8985.53,0.0014000000000000002,0.0055000000000000005,0.017,0.0366,0.0401,0.0765,0.0805,0.07629999999999999,0.062400000000000004,0.0641
Edelweiss Arbitrage Fund - Direct Plan - Growth,Direct Plan,Arbitrage Fund,4,15137.02,0.0014000000000000002,0.0059,0.0173,0.036699999999999997,0.04,0.0766,0.08130000000000001,0.07690000000000001,0.0639,0.0662
DSP Arbitrage fund - Direct Plan - Growth,Direct Plan,Arbitrage Fund,5,6433.7,0.0013,0.0055000000000000005,0.0165,0.0353,0.038599999999999995,0.0745,0.0787,0.0751,0.0608,-
Mirae Asset Arbitrage Fund - Direct Plan - Growth,Direct Plan,Arbitrage Fund,4,3232.92,0.0011,0.0058,0.0165,0.0353,0.039,0.0745,0.08039999999999999,0.0759,0.0622,-
Axis Banking & PSU Debt Fund - Direct Plan - Growth,Direct Plan,Banking and PSU Fund,4,13470.4,0.0008,0.003,0.0225,0.051699999999999996,0.0533,0.0928,0.08199999999999999,0.0748,0.061200000000000004,0.076
LIC MF Banking & PSU Fund - Direct Plan - Growth,Direct Plan,Banking and PSU Fund,4,1931.59,0.0007000000000000001,0.0026,0.0245,0.055099999999999996,0.0571,0.0981,0.086,0.0784,0.0603,0.0741
